"","x"
"1",245593000
"2",253834000
"3",636015415
"4",244670658
"5",636021700
"6",636021691
"7",211489210
"8",229723000
"9",244650753
"10",630001042
"11",261183700
"12",249960000
"13",266465000
"14",636016728
"15",244670589
"16",269057124
"17",244670040
"18",248886000
"19",244730705
"20",235009956
"21",247433300
"22",211149890
"23",244660862
"24",271044691
"25",255806230
"26",564167000
"27",354285000
"28",310453000
"29",525021037
"30",244040505
"31",244830183
"32",211477070
"33",236342000
"34",636023390
"35",636014929
"36",244660253
"37",211840920
"38",538008525
"39",257037270
"40",367740790
"41",564688000
"42",219028009
"43",563208100
"44",205269790
"45",211177630
"46",258018390
"47",310779000
"48",563294100
"49",244670779
"50",211511010
"51",257086660
"52",563105500
"53",244650537
"54",311027500
"55",566577000
"56",258858000
"57",352005065
"58",352004278
"59",273443820
"60",209407000
"61",538004167
"62",235112571
"63",244730368
"64",244569000
"65",564149000
"66",205392790
"67",311000112
"68",636017409
"69",226344000
"70",244285000
"71",273356770
"72",244710238
"73",229339000
"74",240620300
"75",538006744
"76",636024827
"77",367455580
"78",477233500
"79",477151700
"80",255802940
"81",636019638
"82",244660565
"83",563028460
"84",311000563
"85",319095200
"86",311000375
"87",218085000
"88",414461000
"89",256661000
"90",241683000
"91",244670280
"92",311001176
"93",205565390
"94",236401000
"95",220516000
"96",538010417
"97",636017859
"98",352898754
"99",538011339
"100",352006081
"101",256468000
"102",269057592
"103",265013000
"104",370813000
"105",311027400
"106",241761000
"107",538010617
"108",211516390
"109",244944000
"110",244371252
"111",211883520
"112",226017260
"113",538008262
"114",244830198
"115",246133000
"116",563654000
"117",211473820
"118",533130819
"119",255806365
"120",244770838
"121",244184282
"122",247253200
"123",244700380
"124",244700197
"125",563030850
"126",636022736
"127",373272000
"128",247273700
"129",563128800
"130",266476000
"131",538003615
"132",538009827
"133",244660418
"134",244090473
"135",256652000
"136",311000467
"137",249332000
"138",255900000
"139",636011267
"140",244650690
"141",230690000
"142",273333980
"143",477938700
"144",636014378
"145",255891000
"146",563074700
"147",352006141
"148",253242337
"149",244700468
"150",269057004
"151",563019900
"152",563069300
"153",244870140
"154",205578190
"155",257898000
"156",244710116
"157",257134800
"158",269057738
"159",636023000
"160",636025670
"161",244710043
"162",205367990
"163",257009050
"164",219775000
"165",352005593
"166",203999427
"167",630001226
"168",228421600
"169",246354000
"170",219814000
"171",538006947
"172",266470000
"173",372240000
"174",255915816
"175",563221000
"176",209221000
"177",636025095
"178",564066000
"179",219011922
"180",205522990
"181",636022867
"182",356502000
"183",338899000
"184",215919000
"185",211178250
"186",248045000
"187",244780453
"188",244670293
"189",244730277
"190",247170100
"191",257833000
"192",477995827
"193",538005119
"194",205743000
"195",266203000
"196",538007666
"197",205585690
"198",563167400
